method,duration,bias,error,relArea,cost,tau_p,tau_v
KDE,1,-1666753.627,-0.8855,0.114455718,0.127624512,86164.091,3600
KDE,1,-1673529.813,-0.8891,0.110906477,0.320410252,86164.091,3600
KDE,1,-1730750.943,-0.9195,0.080507076,0.108745575,86164.091,3600
KDE,1,-1606709.086,-0.8536,0.146415333,0.330124378,86164.091,3600
KDE,1,-1610661.862,-0.8557,0.144275957,0.345437288,86164.091,3600
KDE,1,-1732256.762,-0.9203,0.079744636,0.138250589,86164.091,3600
KDE,1,-1768208.196,-0.9394,0.060576493,0.118127108,86164.091,3600
KDE,1,-1511654.249,-0.8031,0.19694251,0.319458008,86164.091,3600
KDE,1,-1548923.275,-0.8229,0.17706083,0.346472979,86164.091,3600
KDE,1,-1699693.422,-0.903,0.096984255,0.310383081,86164.091,3600
KDE,1,-1357872.464,-0.7214,0.278574688,0.31715703,86164.091,3600
KDE,1,-1562852.102,-0.8303,0.16968556,0.126573086,86164.091,3600
KDE,1,-1703081.515,-0.9048,0.095171722,0.128135681,86164.091,3600
KDE,1,-1580357.25,-0.8396,0.160370319,0.115614176,86164.091,3600
KDE,1,-1449727.435,-0.7702,0.229832805,0.138312817,86164.091,3600
KDE,1,-1581674.842,-0.8403,0.159739439,0.319488049,86164.091,3600
KDE,1,-1801147.991,-0.9569,0.043116537,0.345799923,86164.091,3600
KDE,1,-1736021.31,-0.9223,0.077724846,0.119168282,86164.091,3600
KDE,1,-1622520.188,-0.862,0.137988454,0.122696877,86164.091,3600
KDE,1,-1646613.295,-0.8748,0.125189134,0.108372927,86164.091,3600
KDE,1,-1692164.326,-0.899,0.101048429,0.325276136,86164.091,3600
KDE,1,-1700069.877,-0.9032,0.096839458,0.123452187,86164.091,3600
KDE,1,-1734891.946,-0.9217,0.078316707,0.302117825,86164.091,3600
KDE,1,-1773102.108,-0.942,0.05795193,0.12713623,86164.091,3600
KDE,1,-1611226.544,-0.856,0.143981438,0.110326767,86164.091,3600
KDE,1,-1788724.982,-0.9503,0.049749786,0.340275049,86164.091,3600
KDE,1,-1438057.336,-0.764,0.236011352,0.130401134,86164.091,3600
KDE,1,-1558334.645,-0.8279,0.172054079,0.325661659,86164.091,3600
KDE,1,-1532359.263,-0.8141,0.185889609,0.121443987,86164.091,3600
KDE,1,-1716633.888,-0.912,0.087995437,0.303496599,86164.091,3600
KDE,1,-1785336.889,-0.9485,0.051507771,0.119434357,86164.091,3600
KDE,1,-1429775.33,-0.7596,0.240353101,0.322292805,86164.091,3600
KDE,1,-1593721.396,-0.8467,0.153264844,0.117511272,86164.091,3600
KDE,1,-1732633.217,-0.9205,0.07950439,0.326033592,86164.091,3600
KDE,1,-1704587.334,-0.9056,0.094361392,0.311087132,86164.091,3600
KDE,1,-1571510.563,-0.8349,0.165086253,0.127694607,86164.091,3600
KDE,1,-1470620.676,-0.7813,0.218686803,0.300961494,86164.091,3600
KDE,1,-1757102.779,-0.9335,0.066465029,0.324258089,86164.091,3600
KDE,1,-1324367.986,-0.7036,0.296436578,0.343319178,86164.091,3600
KDE,1,-1310815.614,-0.6964,0.303569029,0.316875696,86164.091,3600
KDE,1,-1465538.536,-0.7786,0.221396414,0.120181561,86164.091,3600
KDE,1,-1781572.341,-0.9465,0.053514269,0.143415928,86164.091,3600
KDE,1,-1655083.528,-0.8793,0.120653151,0.115778685,86164.091,3600
KDE,1,-1678235.498,-0.8916,0.108381148,0.31025362,86164.091,3600
KDE,1,-1662612.624,-0.8833,0.116733142,0.125503063,86164.091,3600
KDE,1,-1727739.305,-0.9179,0.082066711,0.118037939,86164.091,3600
KDE,1,-1515418.797,-0.8051,0.194887214,0.125530481,86164.091,3600
KDE,1,-1589580.393,-0.8445,0.155500623,0.110249519,86164.091,3600
KDE,1,-1526712.441,-0.8111,0.188886361,0.11800313,86164.091,3600
KDE,1,-1771219.834,-0.941,0.058988161,0.126400232,86164.091,3600
KDE,1,-1601438.719,-0.8508,0.149247792,0.125385046,86164.091,3600
KDE,1,-1719457.299,-0.9135,0.086533024,0.310934544,86164.091,3600
KDE,1,-1786278.026,-0.949,0.051013471,0.135464191,86164.091,3600
KDE,1,-1688776.233,-0.8972,0.102766,0.122844934,86164.091,3600
KDE,1,-1638143.062,-0.8703,0.129701654,0.116677284,86164.091,3600
KDE,1,-1781384.114,-0.9464,0.053584597,0.323696375,86164.091,3600
KDE,1,-1748820.773,-0.9291,0.070874114,0.131229877,86164.091,3600
KDE,1,-1665436.035,-0.8848,0.115210142,0.305758238,86164.091,3600
KDE,1,-1683882.32,-0.8946,0.105439548,0.332303047,86164.091,3600
KDE,1,-1573016.382,-0.8357,0.164262722,0.336558342,86164.091,3600
KDE,1,-1439374.928,-0.7647,0.235326121,0.117789745,86164.091,3600
KDE,1,-1649624.934,-0.8764,0.123638503,0.351423264,86164.091,3600
KDE,1,-1280887.457,-0.6805,0.31946805,0.323616743,86164.091,3600
KDE,1,-1619320.322,-0.8603,0.139684863,0.323989153,86164.091,3600
KDE,1,-1697434.693,-0.9018,0.098230483,0.339418411,86164.091,3600
KDE,1,-1684823.457,-0.8951,0.104932163,0.303542137,86164.091,3600
KDE,1,-1737715.357,-0.9232,0.076813664,0.312227726,86164.091,3600
KDE,1,-1744491.543,-0.9268,0.073207449,0.121994495,86164.091,3600
KDE,1,-1669388.811,-0.8869,0.113141376,0.136232138,86164.091,3600
KDE,1,-1633249.15,-0.8677,0.132297703,0.349235773,86164.091,3600
KDE,1,-1657718.712,-0.8807,0.119330863,0.116886139,86164.091,3600
KDE,1,-1457821.213,-0.7745,0.225499183,0.322585821,86164.091,3600
KDE,1,-1717198.57,-0.9123,0.087725695,0.30993557,86164.091,3600
KDE,1,-1200702.585,-0.6379,0.362120096,0.120585442,86164.091,3600
KDE,1,-1421305.097,-0.7551,0.244854912,0.318938017,86164.091,3600
KDE,1,-1589015.711,-0.8442,0.155776718,0.329912424,86164.091,3600
KDE,1,-1687082.186,-0.8963,0.103728164,0.304937601,86164.091,3600
KDE,1,-1731315.625,-0.9198,0.080204713,0.311260462,86164.091,3600
KDE,1,-1711363.521,-0.9092,0.090815174,0.342338085,86164.091,3600
KDE,1,-1632496.24,-0.8673,0.132688805,0.324423552,86164.091,3600
KDE,1,-1745997.362,-0.9276,0.072363283,0.11988616,86164.091,3600
KDE,1,-1689905.597,-0.8978,0.102232781,0.32023406,86164.091,3600
KDE,1,-1719457.299,-0.9135,0.086514226,0.11363101,86164.091,3600
KDE,1,-1796065.851,-0.9542,0.045767745,0.131648779,86164.091,3600
KDE,1,-1719833.754,-0.9137,0.086293578,0.108887911,86164.091,3600
KDE,1,-1737903.584,-0.9233,0.076658907,0.124764681,86164.091,3600
KDE,1,-1792301.303,-0.9522,0.047811932,0.331051111,86164.091,3600
KDE,1,-1639837.109,-0.8712,0.128778373,0.119685411,86164.091,3600
KDE,1,-1634002.059,-0.8681,0.13189386,0.123172522,86164.091,3600
KDE,1,-1525018.395,-0.8102,0.189779931,0.378358603,86164.091,3600
KDE,1,-1781007.659,-0.9462,0.053758915,0.118748426,86164.091,3600
KDE,1,-1469303.084,-0.7806,0.219401569,0.116693735,86164.091,3600
